match,match_day,match_link
Borussia vs Copenhagen,09/06/2022,https://www.goal.com/en-us/match/borussia-dortmund-v-k%C3%B8benhavn/commentary-result/cat7ll7hbuk0t3v0msz1vycd0
,09/06/2022,https://www.goal.com/en-us/match/dinamo-zagreb-v-chelsea/47v73vymszccommentary-result/nqm7u4usaxhd78
,09/06/2022,https://www.goal.com/en-us/match/benfica-v-maccabi-haifa/b2wiwoqpn5scommentary-result/p4uv7e58h9hiqc
,09/06/2022,https://www.goal.com/en-us/match/celtic-v-real-madrid/btinzlaeirbxnzcommentary-result/w21xb1hkdg4
,09/06/2022,https://www.goal.com/en-us/match/psg-v-juventus/b2sd9w5gzps3y89rid9ccommentary-result/d8kd0
,09/06/2022,https://www.goal.com/en-us/match/rb-leipzig-v-shakhtar-donetsk/btne3commentary-result/c0gi8l1vig3p535gcqok
,09/06/2022,https://www.goal.com/en-us/match/salzburg-v-milan/47zx8l1dl7ow8xr5vjcommentary-result/1bv1zpw
,09/06/2022,https://www.goal.com/en-us/match/salzburg-v-milan/47zx8l1dl7ow8xr5vjcommentary-result/1bv1zpw
,09/06/2022,https://www.goal.com/en-us/match/sevilla-v-manchester-city/cay8n9b9wcommentary-result/73wyxhv8qxgtc93o
,09/07/2022,https://www.goal.com/en-us/match/ajax-v-rangers/9i4yjs1zsxdszoktwpa7commentary-result/qjr4k
,09/07/2022,https://www.goal.com/en-us/match/eintracht-frankfurt-v-sporting-cp/fcommentary-result/3xm0lrh1f2re3um0ftleckr8
,09/07/2022,https://www.goal.com/en-us/match/atl%C3%A9tico-madrid-v-porto/ehix0xcommentary-result/dybrx9b8qn1dyagw7is
,09/07/2022,https://www.goal.com/en-us/match/barcelona-v-viktoria-plze%C5%88/eh1commentary-result/3vhdo3hxkiup9323adztp0
,09/07/2022,https://www.goal.com/en-us/match/club-brugge-v-bayer-leverkusen/ehnlcommentary-result/u7xokdadpvdaem39m232s
,09/07/2022,https://www.goal.com/en-us/match/internazionale-v-bayern-m%C3%BCnchecommentary-result/n/eh58p0s0yhffuymowl2sowtn8
,09/07/2022,https://www.goal.com/en-us/match/napoli-v-liverpool/9i97fkcczegpz951commentary-result/8aw5luplg
,09/07/2022,https://www.goal.com/en-us/match/tottenham-hotspur-v-olympique-marsecommentary-result/ille/f41vavqm00jqejbhmyfi52bys
,09/13/2022,https://www.goal.com/en-us/match/sporting-cp-v-tottenham-hotspur/f44commentary-result/swuuqsmirjl8oj7r5x1xqs
,09/13/2022,https://www.goal.com/en-us/match/viktoria-plze%C5%88-v-internazionalcommentary-result/e/eh82jb880gejcan54znulqwwk
,09/13/2022,https://www.goal.com/en-us/match/bayer-leverkusen-v-atl%C3%A9tico-macommentary-result/drid/ehu9of3frbngoxwv0amtcrrx0
,09/13/2022,https://www.goal.com/en-us/match/bayern-m%C3%BCnchen-v-barcelona/ehacommentary-result/uxjnl2913kfnhrd33hc93o
,09/13/2022,https://www.goal.com/en-us/match/liverpool-v-ajax/9icaw2c65nsww0otgqcommentary-result/3dvzhg4
,09/13/2022,https://www.goal.com/en-us/match/olympique-marseille-v-eintracht-fracommentary-result/nkfurt/f47j4tb7px0zkl6sgwbm60b2s
,09/13/2022,https://www.goal.com/en-us/match/porto-v-club-brugge/ehqwafxv7jlpshtcommentary-result/an96zrm49g
,09/14/2022,https://www.goal.com/en-us/match/milan-v-dinamo-zagreb/48399h2g0di83commentary-result/vijtxw8cb11w
,09/14/2022,https://www.goal.com/en-us/match/shakhtar-donetsk-v-celtic/btqrewjf7commentary-result/rt0pr7e944hncvmc
,09/14/2022,https://www.goal.com/en-us/match/chelsea-v-salzburg/486jps26109hf9iucommentary-result/c9wqemk9g
,09/14/2022,https://www.goal.com/en-us/match/juventus-v-benfica/b2zcgth5xn6vt0w5commentary-result/t4cwgsqok
,09/14/2022,https://www.goal.com/en-us/match/k%C3%B8benhavn-v-sevilla/cb50i2h01ccommentary-result/mesnkam05b1dqtw
,09/14/2022,https://www.goal.com/en-us/match/maccabi-haifa-v-psg/b3260w2syijzaxicommentary-result/mlqtwvkbh0
,09/14/2022,https://www.goal.com/en-us/match/manchester-city-v-borussia-dortmundcommentary-result//cb1q1p4s858csdm2bhf1wglqs
,09/14/2022,https://www.goal.com/en-us/match/rangers-v-napoli/9if54iizhxedf5csxacommentary-result/1b16dck
,09/14/2022,https://www.goal.com/en-us/match/real-madrid-v-rb-leipzig/btu9w2auh7commentary-result/h5nmrk8tgfcy87o
,10/04/2022,https://www.goal.com/en-us/match/bayern-m%C3%BCnchen-v-viktoria-plzecommentary-result/%C5%88/ehdoklsljkbftwk88wc0nlus4
,10/04/2022,https://www.goal.com/en-us/match/olympique-marseille-v-sporting-cp/fcommentary-result/4abfykmcxh98iq8n5v5j687o
,10/04/2022,https://www.goal.com/en-us/match/ajax-v-napoli/9il0daubcoddnjdhkjupycommentary-result/ujv8
,10/04/2022,https://www.goal.com/en-us/match/club-brugge-v-atl%C3%A9tico-madrid/commentary-result/ei1nzypumi7o73fjc7axg8pas
,10/04/2022,https://www.goal.com/en-us/match/eintracht-frankfurt-v-tottenham-hotcommentary-result/spur/f4d6y8yl72upa1odoor2qda1g
,10/04/2022,https://www.goal.com/en-us/match/internazionale-v-barcelona/ehgearptcommentary-result/bcjsnaollhoigraj8
,10/04/2022,https://www.goal.com/en-us/match/liverpool-v-rangers/9ii2im2ob3ydy3acommentary-result/cemxnmndhw
,10/04/2022,https://www.goal.com/en-us/match/porto-v-bayer-leverkusen/ehyg1nb9hpcommentary-result/5dg20lssn7wdnv8
,10/05/2022,https://www.goal.com/en-us/match/rb-leipzig-v-celtic/btxp1iusici1cfgcommentary-result/sq1fogjvh0
,10/05/2022,https://www.goal.com/en-us/match/salzburg-v-dinamo-zagreb/489z7dt39mcommentary-result/vq8z6yxp4vs14pg
,10/05/2022,https://www.goal.com/en-us/match/benfica-v-psg/b37zlcxkl6kd1bfdosu1fcommentary-result/xgr8
,10/05/2022,https://www.goal.com/en-us/match/chelsea-v-milan/48deiwfbl470po112fkcommentary-result/qbebro
,10/05/2022,https://www.goal.com/en-us/match/juventus-v-maccabi-haifa/b352mu4by0commentary-result/r47t9o66u2tuqdw
,10/05/2022,https://www.goal.com/en-us/match/manchester-city-v-k%C3%B8benhavn/cbcommentary-result/82eud96gcb6np2wfxlehudw
,10/05/2022,https://www.goal.com/en-us/match/real-madrid-v-shakhtar-donetsk/bu15commentary-result/g3sgb2c4xv2v66hntk00k
,10/05/2022,https://www.goal.com/en-us/match/sevilla-v-borussia-dortmund/cbb9lb5commentary-result/fclsvpkhesj0ijyh3o
,10/11/2022,https://www.goal.com/en-us/match/k%C3%B8benhavn-v-manchester-city/cbcommentary-result/ef3w9g9sxa0t51473e05fkk
,10/11/2022,https://www.goal.com/en-us/match/maccabi-haifa-v-juventus/b3ayn6e0fdcommentary-result/6et0wid0z8773tg
,10/11/2022,https://www.goal.com/en-us/match/borussia-dortmund-v-sevilla/cbhqmakcommentary-result/ve1b3m9bpcz2335qtw
,10/11/2022,https://www.goal.com/en-us/match/celtic-v-rb-leipzig/bu7w1afjwxs5vqbcommentary-result/asj3s1k1lg
,10/11/2022,https://www.goal.com/en-us/match/dinamo-zagreb-v-salzburg/48grci89v9commentary-result/nkc5akc3i7z0kd0
,10/11/2022,https://www.goal.com/en-us/match/milan-v-chelsea/48k2cs2ac5ztqxecx0lcommentary-result/uz5xxw
,10/11/2022,https://www.goal.com/en-us/match/psg-v-benfica/b3dpzquqarlg06msx34u6commentary-result/13is
,10/11/2022,https://www.goal.com/en-us/match/shakhtar-donetsk-v-real-madrid/bu4jcommentary-result/n8q07x99et7903vnj66ms
,10/12/2022,https://www.goal.com/en-us/match/atl%C3%A9tico-madrid-v-club-brugge/commentary-result/ei4y9ygzpgr1ho2p84262g7x0
,10/12/2022,https://www.goal.com/en-us/match/napoli-v-ajax/9io129aqlnxzyng7jsvbicommentary-result/kbo4
,10/12/2022,https://www.goal.com/en-us/match/barcelona-v-internazionale/ehjb3hfdcommentary-result/sjeef7ec9ny7dcz6c
,10/12/2022,https://www.goal.com/en-us/match/bayer-leverkusen-v-porto/ei8atnqhvgcommentary-result/k5jwl1n9bp0w1zo
,10/12/2022,https://www.goal.com/en-us/match/rangers-v-liverpool/9ir2961t842mg9xcommentary-result/shov31k2dw
,10/12/2022,https://www.goal.com/en-us/match/sporting-cp-v-olympique-marseille/fcommentary-result/4izkqs5s6c5bivroq02dyuxg
,10/12/2022,https://www.goal.com/en-us/match/tottenham-hotspur-v-eintracht-frankcommentary-result/furt/f4g6g10rfreldw1iuy0tmkvf8
,10/12/2022,https://www.goal.com/en-us/match/viktoria-plze%C5%88-v-bayern-m%C3%Bcommentary-result/Cnchen/ehm0gsc6mj2mhx6hw06j43t3o
,10/25/2022,https://www.goal.com/en-us/match/salzburg-v-chelsea/48r2juij3gmynsgfcommentary-result/mg9e7gmqc
,10/25/2022,https://www.goal.com/en-us/match/sevilla-v-k%C3%B8benhavn/cbkwv2kjsrcommentary-result/6rabc7y4i8qh3is
,10/25/2022,https://www.goal.com/en-us/match/benfica-v-juventus/b3jgay7166sw4tq5commentary-result/3wigwtvro
,10/25/2022,https://www.goal.com/en-us/match/borussia-dortmund-v-manchester-citycommentary-result//cbo2od0zxvda0bon0214l7n6c
,10/25/2022,https://www.goal.com/en-us/match/celtic-v-shakhtar-donetsk/bubakd38lcommentary-result/n6udohv2fgq92ec4
,10/25/2022,https://www.goal.com/en-us/match/dinamo-zagreb-v-milan/48nks73er0dkkcommentary-result/q4j96tikps0k
,10/25/2022,https://www.goal.com/en-us/match/psg-v-maccabi-haifa/b3gljnx1z8stbw5commentary-result/ej9wk68c9g
,10/25/2022,https://www.goal.com/en-us/match/rb-leipzig-v-real-madrid/buem8l5dgqcommentary-result/cfklqun5cpvpnh0
,10/26/2022,https://www.goal.com/en-us/match/club-brugge-v-porto/eibi7ujec1rb8nbcommentary-result/cqj523g7pw
,10/26/2022,https://www.goal.com/en-us/match/internazionale-v-viktoria-plze%C5%8commentary-result/8/ehot6z4q11zvaxvdfurrbr7kk
,10/26/2022,https://www.goal.com/en-us/match/ajax-v-liverpool/9ix3qhfq1tcq1w6xhkcommentary-result/82gb504
,10/26/2022,https://www.goal.com/en-us/match/atl%C3%A9tico-madrid-v-bayer-leverkcommentary-result/usen/eiews2sxq6r7mougma6irlm38
,10/26/2022,https://www.goal.com/en-us/match/barcelona-v-bayern-m%C3%BCnchen/ehrcommentary-result/k4jk2to5vze8dr6c2ehgyc
,10/26/2022,https://www.goal.com/en-us/match/eintracht-frankfurt-v-olympique-marcommentary-result/seille/f4oiy29agni6oek247mxu9btg
,10/26/2022,https://www.goal.com/en-us/match/napoli-v-rangers/9iu6l2otdqtu0u9jmicommentary-result/nratul0
,10/26/2022,https://www.goal.com/en-us/match/tottenham-hotspur-v-sporting-cp/f4lcommentary-result/ss994q9w9gopx0ooaz40es
,11/01/2022,https://www.goal.com/en-us/match/bayer-leverkusen-v-club-brugge/eilpcommentary-result/i4ugmrel5b3qie8lfb2tw
,11/01/2022,https://www.goal.com/en-us/match/porto-v-atl%C3%A9tico-madrid/eiigsxcommentary-result/t6wxmt0tntwmo19zs44
,11/01/2022,https://www.goal.com/en-us/match/bayern-m%C3%BCnchen-v-internazionalcommentary-result/e/ehueece8938yha2q653r84844
,11/01/2022,https://www.goal.com/en-us/match/liverpool-v-napoli/9izzuas5v0wl9hbncommentary-result/8bau1onis
,11/01/2022,https://www.goal.com/en-us/match/olympique-marseille-v-tottenham-hotcommentary-result/spur/f4uf4iq2hy8z7rq7kww3fww7o
,11/01/2022,https://www.goal.com/en-us/match/rangers-v-ajax/9j2rjo4heluo11znw9x7commentary-result/adlw4
,11/01/2022,https://www.goal.com/en-us/match/sporting-cp-v-eintracht-frankfurt/fcommentary-result/4rcpqecprxzgzs2phh8az6l0
,11/01/2022,https://www.goal.com/en-us/match/viktoria-plze%C5%88-v-barcelona/ehxcommentary-result/3o91nabe138amwy2mxlhqs
,11/02/2022,https://www.goal.com/en-us/match/real-madrid-v-celtic/bui3vmcrieunlxcommentary-result/80qu4vxyadw
,11/02/2022,https://www.goal.com/en-us/match/shakhtar-donetsk-v-rb-leipzig/bulk5commentary-result/lpql8qpphlpewq6km39w
,11/02/2022,https://www.goal.com/en-us/match/chelsea-v-dinamo-zagreb/48ujwpshuoycommentary-result/kdbenqvila4fmc
,11/02/2022,https://www.goal.com/en-us/match/juventus-v-psg/b3mfqd4d9cqysuj5lxu4commentary-result/d9pg4
,11/02/2022,https://www.goal.com/en-us/match/k%C3%B8benhavn-v-borussia-dortmund/commentary-result/cbu85he831se3fzkpx80hvdas
,11/02/2022,https://www.goal.com/en-us/match/maccabi-haifa-v-benfica/b3p9yb69tx3commentary-result/6cr9zai91rtmhg
,11/02/2022,https://www.goal.com/en-us/match/manchester-city-v-sevilla/cbr68lg0xcommentary-result/om0vjl9cm78tpy50
,11/02/2022,https://www.goal.com/en-us/match/milan-v-salzburg/48y13c6dgtp2qwxp12commentary-result/89z9tsk
,02/14/2023,https://www.goal.com/en-us/match/milan-v-tottenham-hotspur/91ezxnborcommentary-result/bkjuzy1260wyelg4
,02/14/2023,https://www.goal.com/en-us/match/psg-v-bayern-m%C3%BCnchen/zb3gs6vfncommentary-result/yccksucqyf4tj4k
,02/15/2023,https://www.goal.com/en-us/match/borussia-dortmund-v-chelsea/d3me1nfcommentary-result/yhnoted8kij8qc0g7o
,02/15/2023,https://www.goal.com/en-us/match/club-brugge-v-benfica/5a207ab49b2secommentary-result/3ynx4nz2dkb8
,02/21/2023,https://www.goal.com/en-us/match/eintracht-frankfurt-v-napoli/b6j1ldcommentary-result/g89za1can784v8b3x90
,02/21/2023,https://www.goal.com/en-us/match/liverpool-v-real-madrid/7m54f3ngvtycommentary-result/xrqt0trvklpdlg
,02/22/2023,https://www.goal.com/en-us/match/internazionale-v-porto/74lyumbwtxgxcommentary-result/p9l2e6ol0g0k
,02/22/2023,https://www.goal.com/en-us/match/rb-leipzig-v-manchester-city/37z94lcommentary-result/g2louv7mnh9n0098xsk
,03/07/2022,https://www.goal.com/en-us/match/benfica-v-club-brugge/3fjd31kwtppgzcommentary-result/72jhv8n8njf8
,03/07/2022,https://www.goal.com/en-us/match/chelsea-v-borussia-dortmund/6f5pod9commentary-result/tqed8ximoqd12e4qok
,03/08/2022,https://www.goal.com/en-us/match/bayern-m%C3%BCnchen-v-psg/715lkfbdqcommentary-result/g5urj3cst42e09hw
,03/08/2022,https://www.goal.com/en-us/match/tottenham-hotspur-v-milan/4osi3cu3ucommentary-result/umkmi7ygq2ljqbys
,03/14/2023,https://www.goal.com/en-us/match/manchester-city-v-rb-leipzig/40qebmcommentary-result/2049dq0fqk67ff4mf4k
,03/14/2023,https://www.goal.com/en-us/match/porto-v-internazionale/5tjjzdqno7ghcommentary-result/shlzowsnnjf2s
,03/15/2023,https://www.goal.com/en-us/match/napoli-v-eintracht-frankfurt/587v8gcommentary-result/lplqcy3h2zdnicmk6xg
,03/15/2023,https://www.goal.com/en-us/match/real-madrid-v-liverpool/2qxumjyjgtdcommentary-result/ztv1e0uccoqbro
,04/11/2023,https://www.goal.com/en-us/match/benfica-v-internazionale/lt9mxd8cr4commentary-result/aecs15c89z6bdg
,04/11/2023,https://www.goal.com/en-us/match/manchester-city-v-bayern-m%C3%BCnchcommentary-result/en/2giv09pyuvx0zkpowenh8jjmc
,04/12/2023,https://www.goal.com/en-us/match/milan-v-napoli/3od3obegcxnny3ajmgp1commentary-result/r6g44
,04/12/2023,https://www.goal.com/en-us/match/real-madrid-v-chelsea/e9sidneaezw2lcommentary-result/iumzvk8yr28k
,04/18/2023,https://www.goal.com/en-us/match/chelsea-v-real-madrid/5qqp70lllowy1commentary-result/dj4df2v9n09g
,04/18/2023,https://www.goal.com/en-us/match/napoli-v-milan/acdpbx988426z5vihckpcommentary-result/k8bv8
,04/19/2023,https://www.goal.com/en-us/match/bayern-m%C3%BCnchen-v-manchester-cicommentary-result/ty/9bw7ucn0ex2y9ry3bostbn7ro
,04/19/2023,https://www.goal.com/en-us/match/internazionale-v-benfica/8720cw7euzcommentary-result/oeg0kxyys5pgahg
